stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,R1,C1,Lisbon,qtCeMCxh,indrllz,838344220359393291,Indrllz,1,155,100,25,30,0,7,658383,22.3,survived,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[UN] Ultimus_Rex,296454138877968385,Anon420,2,146,98,18,30,0,11,124642,22.3,survived,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[LBU] Anto,615190559543263242,Anto,3,138,96,12,30,0,2,34507,22.3,survived,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[UN] Geographic Edits,1281977843210784832,Geographic Edits,4,132,94,8,30,0,15,2572,22.3,survived,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[NRV] uxxtu,803976151688019968,Moka,5,123,93,5,25,0,2,358,22.3,survived,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,blurblitz,718563763560644659,blurblitz,6,91,91,0,0,0,0,0,22.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,couchcushion,1051185075028508783,gabr,7,115,89,0,26,0,3,1,20.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[CYN] Bane,827209418537959434,Bane,8,116,87,0,29,0,5,0,14.8,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[PENEK] Pentium 4,717364086874046584,Pentium 4,9,115,85,0,30,0,6,0,14.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[ATR] Royaume Du Rex,499347583752470528,Royaume Du Rex,10,113,83,0,30,0,2,0,13.7,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Ignaszolo,1415314520926195875,Ignaszollo,11,85,81,0,4,0,1,0,13.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[LBU] VarXard,1469000391751630932,VarXard,12,93,80,0,13,0,1,0,12.6,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[Xev]ラーメン,1251900133990465596,ramen,13,86,78,0,8,0,1,0,12.4,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Mateo,531184047829942282,chilldude,14,90,76,0,14,0,1,0,12.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Coz,193633671683506176,Coz,15,74,74,0,0,0,0,0,11.5,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Step,928364949800108082,Zgegoman,16,75,72,0,3,0,1,0,10.7,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Dmq,1277992429827653682,Dmq,17,70,70,0,0,0,0,0,10.5,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Pyrrha,1433879692506693835,washed,18,69,69,0,0,0,0,0,10.4,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Puck,879943503575146536,Puck,19,67,67,0,0,0,0,0,10.2,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,puupy,312531882040623105,puupy,20,65,65,0,0,0,0,0,10.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Mortal Hunger,363083015272005634,Mortal Hunger,21,63,63,0,0,0,0,0,9.9,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,NoEasyWayOut,1507715187459752048,Random,22,61,61,0,0,0,0,0,9.8,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[CYN] imperium romanum,1432038068977930250,imperium romanum,23,59,59,0,0,0,0,0,9.5,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[UN] Meowship Meowship,488899735969726464,Meowship Meowship,24,57,57,0,0,0,0,0,9.5,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Egophobic,300694554645102602,Egophobic,25,62,56,0,6,0,1,0,9.4,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Zukonius,825834271276269569,Zukonia,26,54,54,0,0,0,0,0,9.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Mousekey,1521722112535171143,MouseKey,27,64,52,0,12,0,1,0,9.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,halu,391315068475670539,Beautiful train network,28,57,50,0,7,0,1,0,8.9,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,pulanjuri,614866545784389642,European Federation,29,48,48,0,0,0,0,0,8.8,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Daniel,205439893873229824,UN TRAIN HQ,30,46,46,0,0,0,0,0,8.7,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,CapitainHugo,210343703116644352,CapitainHugo,31,44,44,0,0,0,0,0,8.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,ShabuSushi,599539473100832769,Topspin,32,43,43,0,0,0,0,0,7.9,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,FaJa,271714967466541057,FaJa,33,42,41,0,1,0,1,0,7.6,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Klox,473248860211249152,Klox,34,44,39,0,5,0,1,0,7.5,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[FISH] Cyanosis,306455054636941322,Cyanosis,35,37,37,0,0,0,0,0,7.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Deathwatch,229089937956274176,Deathwatch,36,38,35,0,3,0,2,0,7.2,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,beersie,1393403090001989744,Slough,37,35,33,0,2,0,1,0,7.1,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,maxii,654116202066739200,WhiSky13ourBon,38,31,31,0,0,0,0,0,6.6,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,MIXU,751503838158127165,VoidEmpire,39,30,30,0,0,0,0,0,6.4,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Yakup,264760826945208321,Yakup,40,28,28,0,0,0,0,0,6.2,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Leszy,544277575850000414,Leshy,41,26,26,0,0,0,0,0,5.8,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,keicaldera,977357589979471933,Empire of Kei,42,24,24,0,0,0,0,0,5.6,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[FRA] Payfeh,451386192445964312,Payfeh,43,22,22,0,0,0,0,0,5.4,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Heimdall/Eren,370611110535102464,French troops,44,20,20,0,0,0,0,0,5.4,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Lukasssss,394433432891031552,Lukass,45,19,19,0,0,0,0,0,4.9,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Atomic_void_zeta,1059266579088551986,napolion,46,17,17,0,0,0,0,0,4.9,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Polska Partia Przyjaciół Piwa,1422242244777345046,PolskaPartiaPrzyjaciolPiwa,47,15,15,0,0,0,0,0,4.8,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,[LUX] eef,454775365907251210,eef WANTS trade,48,13,13,0,0,0,0,0,4.7,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Leon366,117103389103357953,STICK,49,11,11,0,0,0,0,0,4.7,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Camelott,228851122683510784,Camelott,50,9,9,0,0,0,0,0,4.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Doppelbemme,183935553291419649,Bemme,51,7,7,0,0,0,0,0,4.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,here's Tony,1054290235393060884,Tonys here and losing,52,6,6,0,0,0,0,0,4.3,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Echo,1423335735658024960,Echo,53,4,4,0,0,0,0,0,4.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,Caterpat,1524570369858605066,Caterpat,54,2,2,0,0,0,0,0,3.0,eliminated,DOMINATION
Qualifier,R1,C1,Lisbon,qtCeMCxh,loooolik_dzik,1522235768297492604,imperium polski,55,0,0,0,0,0,0,0,1.7,eliminated,DOMINATION
Qualifier,R1,C2,Lisbon,SFVAbn9W,[NRV] WHALEFall,618434469032099851,WHALEFall,1,155,100,25,30,0,15,640168,19.1,survived,DOMINATION
Qualifier,R1,C2,Lisbon,SFVAbn9W,vari,248214333513793539,vari,2,146,98,18,30,0,7,101354,19.1,survived,DOMINATION
Qualifier,R1,C2,Lisbon,SFVAbn9W,Ozhcar,374890803518111744,freuneu,3,123,97,12,14,0,3,18533,19.1,survived,DOMINATION
