stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,BojoJangles,551501271320887316,Train Me,1,165,100,35,30,0,5,513061,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,[Xev]ラーメン,1251900133990465596,ramen,2,146,98,18,30,0,7,88695,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,[NRV] smsfun,1297199020191518812,smsfun,3,138,96,12,30,0,6,16072,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,Wicketman2,226869768165130240,wicketman2,4,133,95,8,30,0,3,5827,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,Cheesemaxing,832286969278365706,Cheesemaxing,5,117,93,5,19,0,2,4784,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,dandanua,351761707833753601,DandanUA,6,121,91,0,30,0,6,4655,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,[UN] Ultimus_Rex,296454138877968385,Ultimus_Rex,7,119,89,0,30,0,4,2174,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,vari,248214333513793539,vari,8,118,88,0,30,0,6,1589,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,[LBU] Anto,615190559543263242,Anto,9,116,86,0,30,0,3,1399,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,[UN] Geographic Edits,1281977843210784832,Geographic Edits,10,114,84,0,30,0,5,1319,25.1,survived,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,Dmq,1277992429827653682,Dmq,11,82,82,0,0,0,0,0,25.1,eliminated,DOMINATION
Qualifier,E1,C1,Indian Subcontinent,M5YHDEjw,Vasile,702175550688591963,King of the Kings,12,111,81,0,30,0,5,0,21.2,eliminated,DOMINATION
