rank,player,discord_id,of_name,final_placement,total_points,games_played,playtime_min,avg_points,total_kills,best_placement,lobby_wins,games_survived,furthest_stage
1,[UN] Ultimus_Rex,296454138877968385,Ultimus_Rex,1,911,7,158.8,130.1,67,1,1,7,Finals
2,Sparkles,1369055572032356494,This game sucks like Eagle,2,792,7,142.1,113.1,41,1,1,5,Finals
3,[NRV] WHALEFall,618434469032099851,_0_WHALEFall,3,774,8,157.6,96.8,31,1,1,5,Finals
4,[UN] ALPHA,1427766971583430766,ALPHA,4,736,7,148.6,105.1,36,2,0,4,Finals
5,uni,861894838109863936,uni,5,711,6,136.3,118.5,29,2,0,6,Finals
6,[Xev]aki,1076777741548003480,aki,6,711,8,139.9,88.9,36,3,0,4,Finals
7,BojoJangles,551501271320887316,Train Me,7,710,7,128.3,101.4,33,1,2,4,Finals
8,[LUX] TeNa,771775584584990771,TeNa,8,682,8,147.4,85.3,18,1,1,4,Finals
9,[NRV] Space_Sheeep,742709922915024948,Anon,9,664,8,119.6,83.0,22,1,2,4,Finals
10,[EXL] Nvr_Kn,574550820306288641,Nvr_Kn,10,657,8,131.6,82.1,29,2,0,4,Finals
11,vari,248214333513793539,vari,11,647,7,129.2,92.4,26,1,1,4,Finals
12,Fraty,332487228263628801,Fraty,12,640,8,144.9,80.0,31,6,0,2,Finals
13,FeetOnMySheep,1075043948910886982,King Baldwin IV,13,631,7,138.7,90.1,22,2,0,6,Finals
14,[UN] Geographic Edits,1281977843210784832,Geographic Edits,14,619,7,130.3,88.4,16,6,0,4,Finals
15,[AST] Patanek,1443233459106746418,Patanek,15,602,7,136.3,86.0,14,5,0,4,Finals
16,Kraken1as,1491805944227696711,Krakenias,16,591,9,139.3,65.7,10,4,0,3,Finals
17,[NRV] Mili,803976151688019968,Mili,17,585,7,114.9,83.6,18,2,0,3,Finals
18,[LBU] Anto,615190559543263242,Anto,18,583,7,121.6,83.3,24,6,0,5,Finals
19,[NRV] INGSOC,1245186835597103177,INGSOC,19,577,7,125.6,82.4,17,5,0,3,Finals
20,[Xev]ラーメン,1251900133990465596,ramen,20,573,7,133.9,81.9,15,2,0,4,Finals
