stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,R1,C1,Middle East,8Df8wWMm,Going2HydroYou,133749275262713856,Going2HydroYou,1,155,100,25,30,0,6,1706421,19.1,survived,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,[Xev]ラーメン,1251900133990465596,ramen,2,146,98,18,30,0,5,289295,19.1,survived,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,BojoJangles,551501271320887316,Joseph,3,138,96,12,30,0,13,122739,19.1,survived,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,Lil dofy,459419959404134411,FR lil dofy,4,132,94,8,30,0,3,5000,19.1,survived,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,[CZSK] MiraCZ,66260738292854784,Mira,5,127,92,5,30,0,3,1281,19.1,survived,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,[NRV] INGSOC,1245186835597103177,INGSOC,6,94,90,0,4,0,1,33,19.1,survived,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,colmy,244261012042285056,War Loser Pete Hegseth,7,109,88,0,21,0,3,0,19.1,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,[NRV] Raccoon,764730713718128690,notice me para_pie,8,107,86,0,21,0,3,0,18.5,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,La Vendee,515148060213641248,La Vendee,9,104,84,0,20,0,2,0,17.0,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,Jloud,812738511303606273,The Trinity Trader,10,82,82,0,0,0,0,0,16.9,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,[CYN] Chuma,325671276465094656,Chuma,11,90,80,0,10,0,2,0,16.6,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,SuperBear3🏹🎯,1098952355296313384,Arasaka Enterprise,12,94,78,0,16,0,2,0,16.3,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,miau miau cat island,177027997516169217,miau miau cat island,13,88,76,0,12,0,1,0,15.8,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,keicaldera,977357589979471933,Empire of Kei,14,74,74,0,0,0,0,0,15.3,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,Mousekey,1521722112535171143,MouseKey,15,97,72,0,25,0,3,71,15.3,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,LargoSpark,754091360390217749,if teaming ur bad,16,80,70,0,10,0,1,0,14.8,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,[UN] Sharktopus,160123158895132672,Sharktopus,17,68,68,0,0,0,0,0,14.3,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,ATOS,1050021439962624050,ATOS,18,66,66,0,0,0,0,0,12.5,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,Goku._.Blackk,1173726955779129344,a Spaghetti,19,64,64,0,0,0,0,0,12.5,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,Ah Non,367770410852286464,Ah Non,20,62,62,0,0,0,0,0,12.3,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,Colio,369623893436268554,Colio,21,67,60,0,7,0,2,0,12.0,eliminated,DOMINATION
Qualifier,R1,C1,Middle East,8Df8wWMm,dandanua,351761707833753601,DandanUA,22,66,58,0,8,0,1,0,11.6,eliminated,DOMINATION
