stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,R1,C1,Australia,mMygUf5N,[JR] DougyJR,355158630221479937,DougyJr,1,155,100,25,30,0,4,384232,17.9,survived,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Portatto,470769908414677003,Portatto,2,146,98,18,30,0,11,83317,17.9,survived,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[LUX] TeNa,771775584584990771,TeNa,3,138,96,12,30,0,10,11451,17.9,survived,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Vasile,702175550688591963,King of the Kings,4,132,94,8,30,0,4,898,17.9,survived,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[CZSK] Mole,297312182939418624,Mole,5,127,92,5,30,0,2,4,17.9,survived,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[NRV] pregnar,743505830019858462,glory to NRV,6,97,91,0,6,0,2,0,17.9,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,spartoneb,468540545048903692,Espanight,7,98,89,0,9,0,1,0,17.6,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Titan_Dog,792511967868092466,Latina Lover,8,117,87,0,30,0,4,0,17.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Physma,352603913691856899,Physma,9,109,85,0,24,0,2,0,16.9,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[NRV] Nagi,1422831611224916089,Nagi,10,94,83,0,11,0,1,0,16.8,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Vaylushax,1246093875190169623,AnonDuck1,11,87,81,0,6,0,1,0,16.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,moineau,373430911615762433,moineau loukoum,12,92,79,0,13,0,2,0,15.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Setsu_13,1265155457589186681,Setsu_13s Monarchy,13,89,77,0,12,0,2,0,15.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Mingoman,1272664506182406166,Lord,14,90,75,0,15,0,2,0,14.8,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[NRV] INGSOC,1245186835597103177,INGSOC,15,88,74,0,14,0,1,0,14.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Utah_Teapot,865314210484715530,Utah Teapot,16,72,72,0,0,0,0,0,13.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Daniel,205439893873229824,Daniel,17,100,70,0,30,0,3,0,13.3,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[NRV] StanleyJJ,1028415610423627877,StanleyJJ,18,68,68,0,0,0,0,0,13.3,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Broomsweep,1006901884537294858,Broomsweep,19,78,66,0,12,0,1,0,13.0,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[JUICE] TGD,507930282590994444,TGD,20,64,64,0,0,0,0,0,12.6,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Chicho,754675801139707916,BIG_BARCH,21,78,62,0,16,0,2,0,12.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,ALT,1270468159765217331,ALT,22,60,60,0,0,0,0,0,12.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,dandanua,351761707833753601,DandanUA,23,58,58,0,0,0,0,0,12.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,ct8onvu,1519664088148607117,Anon746,24,57,57,0,0,0,0,0,11.8,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Azure,245020637230268428,Azure,25,60,55,0,5,0,1,0,11.3,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Shoden,521272739076505600,Shoden,26,53,53,0,0,0,0,0,10.8,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Chris,211264191707742208,STRONG AF,27,59,51,0,8,0,1,0,10.7,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Lord Kakozu,1527790744364908625,Lord Kakozu,28,49,49,0,0,0,0,0,10.0,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,STUFF WUFF921,773247251770114059,STUFF WUFF921,29,53,47,0,6,0,1,0,9.6,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[NRV] WHALEFall,618434469032099851,WHALEFall,30,45,45,0,0,0,0,0,9.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,julica67,1250439959064608933,emperior trade,31,43,43,0,0,0,0,0,9.3,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,[LUX]Rookiemstk,1271972714164523028,Rookiemstk,32,42,42,0,0,0,0,0,9.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Lud0O,688008318911774743,Lud0O_Callisthenics,33,40,40,0,0,0,0,0,9.0,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,alucard,447381550636597270,alucard,34,38,38,0,0,0,0,0,8.5,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,mrwn,409764647164706817,mrwn,35,36,36,0,0,0,1,0,8.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,Sylphn0,409726110406934530,SerenissimaResPublicPolonia,36,34,34,0,0,0,0,0,7.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,mMygUf5N,YouBee,393943458181677056,YouBee,37,32,32,0,0,0,0,0,7.3,eliminated,DOMINATION
