stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,R1,C1,Asia,zqjbrWxq,[CYN] imperium romanum,1432038068977930250,imperium romanum,1,126,100,25,1,0,2,591892,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,ahmad562,623241193769140224,ahmad562,2,146,98,18,30,0,5,60334,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Lunace,186880198816432128,Lunace,3,131,96,12,23,0,3,41048,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[LUX] noname,821264729603309598,noname,4,127,94,8,25,0,2,15688,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Cheesemaxing,832286969278365706,Cheesemaxing,5,127,92,5,30,0,5,13456,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,balmykhol,1036576726760820777,balmykhol,6,90,90,0,0,0,0,4705,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[69] DOGERIS,582554442398957599,DOGERIS,7,114,88,0,26,0,2,1918,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[UN] ALPHA,1427766971583430766,ALPHA,8,115,85,0,30,0,6,987,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Physma,352603913691856899,Physma,9,113,83,0,30,0,3,348,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Born In Labs,823230383080472628,Nato,10,99,81,0,18,0,1,151,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Goku._.Blackk,1173726955779129344,imperial_spaghetti,11,109,79,0,30,0,5,68,17.2,survived,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[LUX] TeNa,771775584584990771,TeNa,12,107,77,0,30,0,4,306,17.2,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[NRV] uxxtu,803976151688019968,Moka,13,92,75,0,17,0,2,0,16.5,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,StrikingSpliff,708423113259483186,Turbo,14,73,73,0,0,0,0,0,15.9,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[LUX] eef,454775365907251210,eef WANTS trade,15,71,71,0,0,0,0,0,14.6,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Queqs,211681797606473736,Ulm,16,79,69,0,10,0,1,0,13.4,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[CZSK] MrGame2023,1200547933880336396,The Island Federation,17,92,67,0,25,0,5,0,13.3,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,ibi,341674905932398592,The Galactic Empire,18,86,65,0,21,0,3,0,13.1,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Super3,372542371872768003,Capsule Corp,19,75,63,0,12,0,2,0,12.2,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Daredevell2,1042968425456214016,Daredevell2,20,60,60,0,0,0,0,0,12.1,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Cams,513358727617708045,Arracheur2naine,21,58,58,0,0,0,0,0,11.6,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Yeah Jack,588774210998894618,Freaky Arda,22,56,56,0,0,0,0,0,11.1,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,bäääääää,1089607734309163008,holocauser,23,75,54,0,21,0,2,0,11.0,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,lloydy269,292730970094829580,A Wet Sandwich,24,52,52,0,0,0,0,0,10.9,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[NRV] Nagi,1422831611224916089,Nagi,25,58,50,0,8,0,1,0,10.7,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[CZSK] DetoxMMO,392023080320368650,DetoxMMO,26,65,48,0,17,0,4,0,10.6,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,TheCopperBard | she/her,484170090980573185,TheCopperBard,27,46,46,0,0,0,0,0,10.1,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Shimbino,972169285331980368,Shimbino,28,48,44,0,4,0,1,0,8.8,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Fleug,381299176199290880,Fleug,29,42,42,0,0,0,0,0,8.7,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Mousekey,1521722112535171143,MouseKey,30,40,40,0,0,0,0,0,8.7,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,NoPugBurritoForYou,778354358395076628,NoPugBurritoForYou,31,39,38,0,1,0,1,0,8.6,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,d1recto_r,912365379605659739,NOD d1rector,32,35,35,0,0,0,0,0,8.5,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[CYN] Bane,827209418537959434,Bane,33,36,33,0,3,0,1,0,8.3,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Map Gamer,495653159663042571,Map Gamer,34,31,31,0,0,0,0,0,8.2,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Boh Mingle,526441649060970511,A Aron,35,29,29,0,0,0,0,0,7.2,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,smeerkaas,313745254060916737,smeerkaas,36,27,27,0,0,0,0,0,6.9,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[EXL] Nvr_Kn,574550820306288641,Nvr_Kn,37,25,25,0,0,0,0,0,6.6,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,deivi,1473474664347992298,000,38,23,23,0,0,0,0,0,6.5,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[NRV] Space_Sheeep,742709922915024948,Space,39,21,21,0,0,0,0,0,6.2,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Hotdogman287,998793995847217172,Hotdogs,40,19,19,0,0,0,0,0,6.1,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,[UN] Sharktopus,160123158895132672,Sharktopus,41,17,17,0,0,0,0,0,5.4,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Cabel Morgan,889983998456107089,Cape,42,15,15,0,0,0,0,0,5.4,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,ongoingk9,1183885492270416063,Ongoingk,43,13,13,0,0,0,0,0,5.0,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,Nitrogen,368680945181655041,Nitrogen,44,10,10,0,0,0,0,0,4.7,eliminated,DOMINATION
Qualifier,R1,C1,Asia,zqjbrWxq,DoingAllAsUsually,823438753212268544,judea,45,8,8,0,0,0,0,0,4.6,eliminated,DOMINATION
