stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,R1,C1,Montreal,utqMNrXQ,thunder,1378723372443238563,thunder,10,96,82,0,14,0,1,142,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,ATOS,1050021439962624050,ATOS,10,112,82,0,30,0,7,358935,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,DOOBYDOOBERDOO,755175993324470302,DOOBYDOOBERDOO,10,112,82,0,30,0,9,520567,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,[Xev]aki,1076777741548003480,aki,10,82,82,0,0,0,0,19089,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,Sparkles,1369055572032356494,EagleEye On YT,10,112,82,0,30,0,9,221601,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,Maesi,935732591573741618,Maesi,10,89,82,0,7,0,1,1348,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,[NRV] pregnar,743505830019858462,pregnar,10,82,82,0,0,0,0,35576,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,[CYN] imperium romanum,1432038068977930250,IMPERIUM ROMANUM,10,112,82,0,30,0,5,289987,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,わさびようかん,1305911918950617119,loli,10,83,82,0,1,0,1,4,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,[ATR] Royaume Du Rex,499347583752470528,Royaume Du Rex,10,112,82,0,30,0,4,3297,20.0,survived,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,[LUX] Jarques,252416011633033216,Jarques,11,80,80,0,0,0,0,0,20.1,eliminated,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,Zuen,570271112987148288,Zuen,12,83,78,0,5,0,2,0,19.3,eliminated,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,MarkomanTv,397447596588924939,I had to switch name or smt,13,76,76,0,0,0,0,0,19.2,eliminated,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,maxii,654116202066739200,WhiSky13ourBon,14,73,73,0,0,0,0,0,17.7,eliminated,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,make,723924699989409834,make14,15,71,71,0,0,0,0,0,16.9,eliminated,TIME_CAP
Qualifier,R1,C1,Montreal,utqMNrXQ,Ozhcar,374890803518111744,neuille,16,69,69,0,0,0,0,0,15.5,eliminated,TIME_CAP
