stage,round,lobby,map,game_id,player,discord_id,of_name,placement,points,placement_pts,top5_bonus,kill_pts,reach_bonus,kills,final_tiles,minutes,result,end_reason
Qualifier,R1,C1,Australia,Y1zoWRRx,[NRV] Nagi,1422831611224916089,NRV paraNoid,1,155,100,25,30,0,5,432593,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,factory girl,1323051472870576181,drink the dolls,2,140,98,18,24,0,2,31936,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Pluto,1265955548956725251,Pluto,3,111,96,12,3,0,1,19791,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Lud0O,688008318911774743,Lud0O,4,105,94,8,3,0,1,15654,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,atreides,828321420555321355,Atreides,5,117,92,5,20,0,2,703,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,[NRV] smsfun,1297199020191518812,NRV smsfun,6,100,90,0,10,0,1,576,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,miau miau cat island,177027997516169217,miau miau cat island,7,117,88,0,29,0,3,194,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Kpu,384023106886303744,Zoulou,8,115,85,0,30,0,6,169,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Yellowbiscuit,1498752330886283266,Yellowbiscuit,9,113,83,0,30,0,5,52,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,STUFF WUFF921,773247251770114059,Anon800,10,81,81,0,0,0,0,33,19.1,survived,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,FeetOnMySheep,1075043948910886982,King Baldwin IV,11,97,79,0,18,0,3,0,19.1,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Rimuru_Tempest,902157919360020543,Mister Trader,12,89,77,0,12,0,2,38,15.0,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,ThatOneHog,762888044973654036,Anon517,13,82,75,0,7,0,1,531,14.5,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,NIKAS,715983593574367242,NIKAS,14,96,73,0,23,0,3,324,14.5,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Ralphcat,551655629308035093,Ralphcat,15,79,71,0,8,0,1,0,12.8,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,YouBee,393943458181677056,YouBee,16,99,69,0,30,0,3,0,11.9,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Mr_rim,787373218854862868,BZH,17,74,67,0,7,0,1,0,11.8,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,aprilfools,854829762861465630,Wawa2048,18,66,65,0,1,0,1,0,11.4,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,bibizu,707016941256179783,bibizu,19,63,63,0,0,0,0,0,10.9,eliminated,DOMINATION
Qualifier,R1,C1,Australia,Y1zoWRRx,Big_O,642818479505801226,Big_O 99,20,60,60,0,0,0,0,0,10.4,eliminated,DOMINATION
